id,dimensions_small,dimensions_large,steps,steps_to_keep,rule,bundle_size,n_trails,experiment_desc,neg_mean,neg_std,pos_mean,pos_std,timestamp
34,128,512,3,4,35,5,1000,concatenating previous CA expansion,0.535328515625,0.0338602691095033,0.702419921875,0.0334405047911549,2023-10-11 11:53:19.046418
35,128,512,3,4,36,5,1000,concatenating previous CA expansion,0.767341054883794,0.0189101873915603,0.835416796875,0.0177726567093265,2023-10-11 11:53:52.171603
36,128,512,3,4,37,5,1000,concatenating previous CA expansion,0.5192804962311558,0.0292651778034316,0.6954046875,0.0277359272893057,2023-10-11 11:54:24.518673
37,128,512,3,4,38,5,1000,concatenating previous CA expansion,0.5937899693781407,0.026865966912594,0.72890078125,0.026058721705577,2023-10-11 11:54:57.064639
38,128,512,3,4,39,5,1000,concatenating previous CA expansion,0.5036996623743718,0.0368563183352881,0.68864453125,0.0348978898599156,2023-10-11 11:55:29.318283
39,128,512,3,4,40,5,1000,concatenating previous CA expansion,0.7469062244817839,0.0279177919609875,0.819023046875,0.0262349356857101,2023-10-11 11:56:01.616248
40,128,512,3,4,41,5,1000,concatenating previous CA expansion,0.5455906878140704,0.0235678329654635,0.7064859375,0.022461518959865,2023-10-11 11:56:34.030795
41,128,512,3,4,42,5,1000,concatenating previous CA expansion,0.5421896062342965,0.038467132570005,0.704616015625,0.0363838733686023,2023-10-11 11:57:06.700800
42,128,512,3,4,43,5,1000,concatenating previous CA expansion,0.5001183986337939,0.038471903702571,0.687697265625,0.037089303731176,2023-10-11 11:57:41.217756
43,128,512,3,4,44,5,1000,concatenating previous CA expansion,0.6468023319723618,0.0230402724745091,0.75735859375,0.0222036203405117,2023-10-11 11:58:22.334647
44,128,512,3,4,45,5,1000,concatenating previous CA expansion,0.4999305610081658,0.0252353934687118,0.687844140625,0.0243632246916681,2023-10-11 11:59:05.915125
45,128,512,3,4,46,5,1000,concatenating previous CA expansion,0.5276595025910804,0.0365154231031015,0.698635546875,0.0356860384421017,2023-10-11 11:59:45.407557
46,128,512,3,4,47,5,1000,concatenating previous CA expansion,0.5209578223146984,0.0385311537273178,0.696008984375,0.0370445690524665,2023-10-11 12:00:19.427303
47,128,512,3,4,48,5,1000,concatenating previous CA expansion,0.6490854389133166,0.0291309514241683,0.75509375,0.0289005442003801,2023-10-11 12:00:53.513784
48,128,512,3,4,49,5,1000,concatenating previous CA expansion,0.5358368129711055,0.033904696285423,0.70238671875,0.0332638871870967,2023-10-11 12:01:27.397514
49,128,512,3,4,50,5,1000,concatenating previous CA expansion,0.515194427214196,0.0425769872161262,0.693589453125,0.0415942226487954,2023-10-11 12:02:01.180926
50,128,512,3,4,51,5,1000,concatenating previous CA expansion,0.4999235631281407,0.0442052666086856,0.6875359375,0.0412607843088003,2023-10-11 12:02:35.002385
51,128,512,3,4,52,5,1000,concatenating previous CA expansion,0.5924845654051507,0.0265341223997242,0.727887109375,0.0260838834470155,2023-10-11 12:03:08.993358
52,128,512,3,4,53,5,1000,concatenating previous CA expansion,0.503864576790201,0.0368983142363978,0.6891046875,0.035176761238778,2023-10-11 12:03:42.076274
53,128,512,3,4,54,5,1000,concatenating previous CA expansion,0.5145749195194723,0.0264352005736881,0.693588671875,0.0249821421540512,2023-10-11 12:04:15.473376
54,128,512,3,4,55,5,1000,concatenating previous CA expansion,0.529345866048995,0.0468590020092129,0.69883671875,0.0438356157187775,2023-10-11 12:04:49.453159
55,128,512,3,4,56,5,1000,concatenating previous CA expansion,0.5414981214667085,0.0323716523818736,0.704901953125,0.0309691766863855,2023-10-11 12:05:23.451595
56,128,512,3,4,57,5,1000,concatenating previous CA expansion,0.4999613948649497,0.0318294678282511,0.687002734375,0.0307976153924469,2023-10-11 12:05:57.189757
57,128,512,3,4,58,5,1000,concatenating previous CA expansion,0.5122564992933417,0.0361951225734445,0.691989453125,0.0349666020877946,2023-10-11 12:06:31.190076
58,128,512,3,4,59,5,1000,concatenating previous CA expansion,0.5352185556689698,0.0338747686728188,0.702180078125,0.0337877832105186,2023-10-11 12:07:05.043143
59,128,512,3,4,60,5,1000,concatenating previous CA expansion,0.4999146710113065,0.0220580555638557,0.68753828125,0.0206172688960831,2023-10-11 12:07:38.573656
60,128,512,3,4,61,5,1000,concatenating previous CA expansion,0.5209439541457287,0.0268266128032073,0.695728125,0.0250961830914925,2023-10-11 12:08:12.524928
61,128,512,3,4,62,5,1000,concatenating previous CA expansion,0.5152396278266331,0.0284986103255486,0.69361796875,0.0270775878458514,2023-10-11 12:08:46.197936
62,128,512,3,4,63,5,1000,concatenating previous CA expansion,0.6129107843907036,0.0410652890870918,0.73773984375,0.038169077931381,2023-10-11 12:09:20.199519
63,128,512,3,4,64,5,1000,concatenating previous CA expansion,0.8406124823335427,0.0124942321857395,0.891479296875,0.0117395130580275,2023-10-11 12:09:55.009172
64,128,512,3,4,65,5,1000,concatenating previous CA expansion,0.5705464608197236,0.0274001301484399,0.718849609375,0.0264488607035053,2023-10-11 12:10:29.535469
65,128,512,3,4,66,5,1000,concatenating previous CA expansion,0.6914376315169598,0.0206365987282695,0.778972265625,0.0202049981269561,2023-10-11 12:11:04.033778
66,128,512,3,4,67,5,1000,concatenating previous CA expansion,0.5211043596890703,0.0269280972525883,0.696484765625,0.0259396442278932,2023-10-11 12:11:38.573862
67,128,512,3,4,68,5,1000,concatenating previous CA expansion,0.6488113811243719,0.0291541476532275,0.754315625,0.0285218360530302,2023-10-11 12:12:13.145335
68,128,512,3,4,69,5,1000,concatenating previous CA expansion,0.5207500235552763,0.0422945740660749,0.69546484375,0.0415890861206469,2023-10-11 12:12:47.792503
